Wavelength,Abs
200,278.908294595794
201,277.714788066012
202,275.316261850724
203,273.029027401769
204,270.734117515665
205,268.251163333806
206,265.956253447703
207,263.530863893169
208,260.89440396169
209,258.150489982453
210,255.31831031807
211,252.332625134327
212,249.320076150821
213,246.296014472108
214,243.149148101597
215,239.998444242769
216,236.893792085802
217,233.881243102296
218,230.818804928614
219,227.717990490221
220,224.701604018398
221,221.819534933581
222,219.021894045594
223,216.235766083071
224,213.518715673338
225,210.786314619565
226,208.042400870587
227,205.459667847859
228,202.842396048736
229,200.125345639003
230,197.36224352741
231,194.660543761717
232,192.012570904773
233,189.211092298211
234,186.444152698302
235,183.81153025514
236,181.244147876452
237,178.718979711307
238,176.18997359733
239,173.753071117331
240,171.435135380297
241,169.190114914628
242,167.052548496718
243,164.961033780668
244,163.003836451623
245,161.196307153623
246,159.530770449518
247,157.945824453927
248,156.426118292551
249,154.952463833034
250,153.567075058663
251,152.289140332052
252,151.03423145637
253,149.852237852053
254,148.670244247735
255,147.488250413159
256,146.313932015732
257,145.116587767375
258,143.930756444483
259,142.725736989236
260,141.482341039019
261,140.212081519298
262,138.90728345344
263,137.633186215145
264,136.336063356177
265,134.950674581807
266,133.549935393655
267,132.164546619284
268,130.675541745987
269,129.113621371067
270,127.559376433296
271,126.01664442099
272,124.420185499933
273,122.854427636697
274,121.238780353027
275,119.649996638861
276,118.084238775625
277,116.449403359599
278,114.803055018109
279,113.126005618797
280,111.437443294021
281,109.756556176136
282,108.129395967
283,106.55980038519
284,105.028581298349
285,103.558764557407
286,102.119648874286
287,100.657507340235
288,99.2337423011529
289,97.8099770318126
290,96.3862119927308
291,95.0545503573687
292,93.6998626408182
293,92.3989020632766
294,91.1209673366649
295,89.8430326100532
296,88.5957991715204
297,87.3677536350846
298,86.1627341798372
299,84.9884157824102
300,83.7795586085884
301,82.6167531366264
302,81.4539476646644
303,80.3026551181674
304,79.1360119276309
305,77.9847193811338
306,76.8411022717858
307,75.7742376918595
308,74.7150485490823
309,73.686560694384
310,72.6657478163176
311,71.6679610194397
312,70.6394729344828
313,69.6263354935654
314,68.6822756054379
315,67.7497286427753
316,66.8133441917967
317,65.919173493845
318,64.9904642497569
319,64.1154819144192
320,63.2289866536165
321,62.3424913928138
322,61.4943726269805
323,60.6462536308887
324,59.8096477905203
325,59.0037430079724
326,58.1671371676041
327,57.3842582359861
328,56.6666191385835
329,55.9106037764699
330,55.1507506957819
331,54.4139234660238
332,53.6694207991167
333,52.9556194202886
334,52.2187921905305
335,51.4934778862373
336,50.7566506564793
337,50.0505247148001
338,49.3443985428624
339,48.6612982218547
340,47.9551722801755
341,47.2183450504174
342,46.5083811599052
343,45.7907422927611
344,45.0999667648629
345,44.4322170878946
346,43.8028436756372
347,43.1466069241339
348,42.5172337421351
349,41.8725099160967
350,41.2392990155234
351,40.6367891727704
352,40.0074159907715
353,39.3933932225536
354,38.8139094609891
355,38.2344254691661
356,37.6511039890271
357,37.0524318648487
358,36.5036489308461
359,35.9356780947466
360,35.3561941029236
361,34.7958984737145
362,34.2509532582864
363,33.7251964054723
364,33.1840889086187
365,32.6237930491511
366,32.0788480639816
367,31.5569286994834
368,31.0580351859152
369,30.5860052418514
370,30.0794365213927
371,29.5767055195085
372,29.1507272773046
373,28.7170738282102
374,28.218180314642
375,27.7691762215082
376,27.3623861116597
377,26.9555962320698
378,26.5756696917258
379,26.1496914495219
380,25.7429013396734
381,25.343786666974
382,24.9369965571255
383,24.5378818844261
384,24.1464424186171
385,23.770353366589
386,23.398102263394
387,23.01817572305
388,22.6497621081709
389,22.2813484932919
390,21.9589865802727
391,21.6059233791746
392,21.252860408335
393,20.9458491393553
394,20.6158117891872
395,20.2473981743081
396,19.9710879631489
397,19.6525637687042
398,19.3378770625755
399,19.0231905867053
400,18.7238545246161
401,18.4475443134568
402,18.1712341022975
403,17.8642226030593
404,17.599425317365
405,17.3423034688197
406,17.0813436714413
407,16.7896830465011
408,16.5287232491228
409,16.2984647398234
410,16.064368742208
411,15.8379477212245
412,15.6038517236092
413,15.3735932143098
414,15.1548476304753
415,14.9399395349569
416,14.7211939511224
417,14.521636729902
418,14.3144040715325
419,14.099495976014
420,13.9037762431095
421,13.715731947354
422,13.5315251399145
423,13.3319676884355
424,13.1324102369565
425,12.955878866666
426,12.779347266117
427,12.5913027401029
428,12.4301217835934
429,12.2574279016188
430,12.0885717382187
431,11.9427414257486
432,11.7662098251996
433,11.6280547196199
434,11.4745489700008
435,11.3440693015702
436,11.1867258333766
437,11.033220314016
438,10.8835522829714
439,10.7492346657077
440,10.6110795601281
441,10.4805998916974
442,10.3501199930082
443,10.2273155314681
444,10.1045108396694
445,9.95868052719925
446,9.83587606565907
447,9.71307137386038
448,9.5902669123202
449,9.4751376576705
450,9.3600084030208
451,9.23720394148062
452,9.12974989372139
453,8.99926999503223
454,8.89565366584749
455,8.79587505523726
456,8.68842100747803
457,8.55794133904737
458,8.45816249817863
459,8.35838388756839
460,8.25092983980916
461,8.18185228701934
462,8.06288554405365
463,7.97078214033389
464,7.88251622493011
465,7.75971176338993
466,7.68295900370964
467,7.61388145091982
468,7.51410261005107
469,7.41432399944083
470,7.32989580261154
471,7.26081824982172
