Wavelength,Abs
200,14.7158213293249
201,14.4226254787998
202,13.8592596747312
203,13.3335027298136
204,12.8353768290379
205,12.364114428689
206,11.9511841533281
207,11.585840667257
208,11.2343126687179
209,10.9004378302338
210,10.5934264691507
211,10.3079059406453
212,10.0346658352681
213,9.77063607026278
214,9.51351408356235
215,9.27020758439403
216,9.03687894628673
217,8.8181333624523
218,8.61090070408283
219,8.40904075961426
220,8.21792619689575
221,8.03525445386017
222,7.86486315697861
223,7.70444972115808
224,7.55017651992748
225,7.40511365906885
226,7.26081831889927
227,7.12803592722052
228,7.00062620339095
229,6.86784381171219
230,6.73966656719357
231,6.61762955726489
232,6.49943019683314
233,6.37816070759351
234,6.26303145294381
235,6.15711253866608
236,6.05579879457434
237,5.95909022066859
238,5.86468423185583
239,5.77565093391812
240,5.69506045566332
241,5.61984266828357
242,5.5476950097117
243,5.47708241554379
244,5.41644765941104
245,5.36195316089408
246,5.31052874513332
247,5.26294197886949
248,5.21765782072451
249,5.17314118326857
250,5.13322971599863
251,5.09408574639188
252,5.05417427912193
253,5.01733291763403
254,4.98125907683517
255,4.94595277975121
256,4.90680883317031
257,4.8715025130605
258,4.82928846069756
259,4.7939821636136
260,4.75407067331781
261,4.71032155655092
262,4.66733998349893
263,4.62128828163905
264,4.57293399468618
265,4.5245797077333
266,4.47238777128349
267,4.41942831414462
268,4.36493381562766
269,4.30967177339581
270,4.25133960235606
271,4.19147238993821
272,4.13083765683132
273,4.06943540303538
274,4.00419547671665
275,3.94049063782771
276,3.87985588169497
277,3.81461597840209
278,3.74553842561226
279,3.67646084979659
280,3.60508071191378
281,3.53370059705681
282,3.46769315004903
283,3.39861559725921
284,3.33107310887334
285,3.26276307677256
286,3.19752315045383
287,3.1338183115649
288,3.06781088758297
289,3.00257096126424
290,2.9380985786604
291,2.8797664306465
292,2.82066673891771
293,2.76540469668585
294,2.707840069361
295,2.65718319731513
296,2.60882891036225
297,2.55893955900543
298,2.5136553778346
299,2.46913874037866
300,2.42538964663763
301,2.38087298615584
302,2.33712386938896
303,2.29874744349711
304,2.25806845553811
305,2.21815698826817
306,2.17978053935046
307,2.13833400767657
308,2.1060978394005
309,2.0692564779126
310,2.03548522220674
311,2.00324903090482
312,1.9710128396029
313,1.93724160692289
314,1.90807552140302
315,1.8758393301011
316,1.84360313879918
317,1.81597211768325
318,1.78603848844848
319,1.75533738457636
320,1.72770636346043
321,1.70084286303355
322,1.67321181889177
323,1.6448132770868
324,1.61871732037481
325,1.59338888435188
326,1.566525383925
327,1.54119694790206
328,1.51740357628308
329,1.49437772535314
330,1.4698168330451
331,1.44525591771121
332,1.42299758747032
333,1.40227432163337
334,1.38308612020037
335,1.36389789574152
336,1.34010452412253
337,1.31707867319259
338,1.29789047175959
339,1.28100483239374
340,1.26028158958264
341,1.23955830071984
342,1.2165324497899
343,1.19811176904595
344,1.18045860899105
345,1.16203795127295
346,1.14438479121804
347,1.12596411047409
348,1.10984601482313
349,1.09526298357612
350,1.07991240861421
351,1.06302676924835
352,1.04844373800134
353,1.03386070675433
354,1.01851013179242
355,1.00469462123445
356,0.988576548609344
357,0.973225973647434
358,0.959410463089469
359,0.945594929505654
360,0.934082027066535
361,0.919498972793672
362,0.903380877142714
363,0.892635472366791
364,0.880355049238624
365,0.865004474276713
366,0.851188940692898
367,0.83890849453888
368,0.825093007006767
369,0.814347602230844
370,0.801299612361928
371,0.78901916620791
372,0.776738697028041
373,0.765225771563071
374,0.753712869123952
375,0.742967441322178
376,0.736059709069047
377,0.725314304293124
378,0.713801378828154
379,0.703055974052232
380,0.692310569276309
381,0.683100228904333
382,0.672354847154261
383,0.660841921689291
384,0.65009653993922
385,0.640118655852345
386,0.630908315480369
387,0.62246549579744
388,0.613255155425464
389,0.60327729436444
390,0.595601995370559
391,0.584856613620488
392,0.578716402056404
393,0.569506038658577
394,0.561063242001499
395,0.554923007411565
396,0.544945146350541
397,0.534967262263666
398,0.526524465606589
399,0.520384231016654
400,0.512708932022774
401,0.504266135365696
402,0.497358380086714
403,0.490450624807732
404,0.482775348839702
405,0.475100049845821
406,0.472029944063779
407,0.465122188784797
408,0.458214433505815
409,0.451306678226833
410,0.445933964325946
411,0.439793752761863
412,0.432885997482881
413,0.428280827296892
414,0.42137307201791
415,0.412930275360833
416,0.408325082148994
417,0.404487455677904
418,0.399114741777018
419,0.393742050901982
420,0.386834295623
421,0.382229125437012
422,0.376856434561976
423,0.372251241350137
424,0.368413614879047
425,0.364575988407958
426,0.358435753818023
427,0.354598104321083
428,0.349225390420196
429,0.344620243260059
430,0.338480008670125
431,0.335409902888083
432,0.33233977408019
433,0.327734603894202
434,0.325432018801208
435,0.321594392330119
436,0.318524286548077
437,0.312384028932292
438,0.310081466865148
439,0.307778881772154
440,0.30163864718222
441,0.29780099768528
442,0.294730891903238
443,0.292428306810244
444,0.289358201028202
445,0.286288072220309
446,0.285520551531262
447,0.280915381345274
