Wavelength,Abs
200,57.0734091793544
201,56.3312092356954
202,54.4438570031552
203,52.552667121118
204,50.8779202147964
205,49.1916604060357
206,47.8047366593643
207,46.5559679952466
208,45.2880111527218
209,44.0415450736971
210,42.8802746431132
211,41.7658234581041
212,40.7219848902887
213,39.7656445560072
214,38.8146769126006
215,37.8729196095661
216,36.9825866992664
217,36.1375379931635
218,35.3055372308777
219,34.4957947988328
220,33.7413144090199
221,33.0244429474355
222,32.3643685464353
223,31.7242498905829
224,31.0925740544135
225,30.4915993221162
226,29.9075102522106
227,29.3625651058601
228,28.8437159162215
229,28.3010733779898
230,27.7722463272902
231,27.2764230116075
232,26.8043930675437
233,26.3285254970088
234,25.8557280092301
235,25.4197719059652
236,24.9976312902324
237,24.5839334941825
238,24.1825161673125
239,23.7979844567825
240,23.4357110764934
241,23.0926258976373
242,22.7679613995251
243,22.4509722004068
244,22.1531711796957
245,21.8799310743185
246,21.626646737115
247,21.3887129288217
248,21.1622920690192
249,20.9420114207808
250,20.7324761773184
251,20.5367564444139
252,20.3494795311923
253,20.1714129583427
254,19.9979515326533
255,19.8244901069638
256,19.6441209490213
257,19.4622167497006
258,19.2826150894212
259,19.0938031348215
260,18.9026885490772
261,18.7054337747946
262,18.4951309876172
263,18.2878983292478
264,18.0768280444072
265,17.8481045764859
266,17.6109383119075
267,17.3691668771431
268,17.1089747616348
269,16.8388047850655
270,16.5663322234031
271,16.2815791925609
272,15.9937560559366
273,15.7013277491264
274,15.3927813466652
275,15.0857700086079
276,14.7848988821148
277,14.4725148531825
278,14.1570606954423
279,13.8323961973301
280,13.5038940266952
281,13.1815321367019
282,12.8614727857498
283,12.5467861717246
284,12.2397748336673
285,11.9442763980492
286,11.6510805705499
287,11.3548146142427
288,11.0685265420224
289,10.7799358616832
290,10.5005555447419
291,10.2296180474835
292,9.96712334688218
293,9.71767663614977
294,9.48127786923458
295,9.25178690365008
296,9.02306345875462
297,8.80201528982719
298,8.59248002333888
299,8.38678245239921
300,8.19029517577982
301,8.00225074186921
302,7.81957897580778
303,7.63997733855424
304,7.46651593589064
305,7.29996226548017
306,7.14108391708943
307,6.98604317214394
308,6.83637514109932
309,6.69361486533369
310,6.55545975975405
311,6.42190982436039
312,6.28682482456279
313,6.15404240985819
314,6.02586518836542
315,5.90843334862272
316,5.79483913535111
317,5.68124494510536
318,5.56611571348151
319,5.45559160599194
320,5.34430000083918
321,5.23454346009036
322,5.13322969297278
323,5.028845843099
324,4.92753209900726
325,4.83082352510151
326,4.73181236610276
327,4.63740637729001
328,4.54914062306719
329,4.46548003903035
330,4.37798178247073
331,4.29355367774485
332,4.21066061439706
333,4.13007013614227
334,4.05101469926557
335,3.97272680610378
336,3.89674149803497
337,3.82459383946311
338,3.75858641548118
339,3.68413614879047
340,3.61122096952956
341,3.54060835233579
342,3.47153079954597
343,3.40475583184915
344,3.33951592855627
345,3.27504352292658
346,3.21824643931663
347,3.16528695915191
348,3.10925741925686
349,3.05092524821711
350,2.99489568529621
351,2.9404011637534
352,2.88820922730358
353,2.83678483456866
354,2.78459289811885
355,2.73700615488087
356,2.69095442999514
357,2.64413523047206
358,2.59808352861218
359,2.5535668681304
360,2.50905023067446
361,2.46299852881458
362,2.41924941204769
363,2.37550029528081
364,2.33328621989202
365,2.28723451803214
366,2.24425294498015
367,2.19973628449836
368,2.15905729653937
369,2.12068087064752
370,2.07923433897362
371,2.04162545679667
372,2.00401655159387
373,1.96564014872787
374,1.92572865843207
375,1.88811977625512
376,1.85204595848211
377,1.8175071820872
378,1.78296838266644
379,1.74842960627153
380,1.71312330918757
381,1.68088711788565
382,1.64711586217979
383,1.61641473528182
384,1.58264347957596
385,1.54963976758499
386,1.51970616137607
387,1.4905400758562
388,1.46060646964727
389,1.43067286343835
390,1.40304184232242
391,1.37848092698853
392,1.35468755536955
393,1.32552149287552
394,1.29942551313769
395,1.2756321415187
396,1.25260629058876
397,1.22958043965882
398,1.20425200363589
399,1.18199369642084
400,1.16203795127295
401,1.14054716474695
402,1.11752129079116
403,1.09833308935816
404,1.07837734421026
405,1.05765407837331
406,1.03769835625127
407,1.01927767550731
408,0.999321930359416
409,0.981668770304511
410,0.964015610249606
411,0.947897537624499
412,0.934082027066535
413,0.917963908389726
414,0.902613356453666
415,0.887262804517606
416,0.870377165151749
417,0.853491548811743
418,0.840443558942827
419,0.825860504669964
420,0.81204501713785
421,0.79669444217594
422,0.783646475332874
423,0.76983096477491
424,0.757550495595041
425,0.747572634534017
426,0.735292188379999
427,0.72301171920013
428,0.71149879373516
429,0.700753388959238
430,0.68847294280522
431,0.678495081744196
432,0.667749676968273
433,0.658539336596297
434,0.647793931820375
435,0.636281006355404
436,0.628605730387375
437,0.617860325611452
438,0.609417505928524
439,0.600974709271446
440,0.59176436889947
441,0.582554028527494
442,0.57257616746647
443,0.565668412187488
444,0.557993136219458
445,0.548015252132583
446,0.541875017542648
447,0.53343219785972
448,0.52575692189169
449,0.51808164592366
450,0.51040636995563
451,0.504266135365696
452,0.499660965179708
453,0.493520730589773
454,0.485845454621744
455,0.476635114249767
456,0.466657230162893
457,0.460517018598809
458,0.456679369101869
459,0.451306678226833
460,0.444398922947851
461,0.43672362395397
462,0.433653518171928
463,0.425978242203898
464,0.419070486924916
465,0.412930252334982
466,0.406022497056
467,0.401417326870012
468,0.395277115305928
469,0.389904401405041
470,0.385299231219053
471,0.37915901965497
472,0.374553849468982
473,0.369181135568095
474,0.364575965382107
475,0.360738315885167
476,0.353830560606184
477,0.350760454824143
478,0.347690349042101
479,0.340782593763119
480,0.336944944266178
481,0.331572253391143
482,0.327734603894202
483,0.32466449811216
484,0.319291784211274
485,0.314686614025286
486,0.310848987554196
487,0.307011338057256
488,0.303173688560315
489,0.298568518374327
490,0.293195827499292
491,0.29012572171725
492,0.287055592909357
493,0.284753007816363
494,0.280147860656226
495,0.276310211159286
496,0.273240082351393
497,0.268634912165405
498,0.264797285694315
499,0.261727179912274
500,0.261727179912274
501,0.256354466011387
502,0.252516816514446
503,0.249446710732405
504,0.246376604950363
505,0.242538955453423
506,0.237933785267434
507,0.23563120017444
508,0.233328615081446
509,0.229490988610357
510,0.227188403517363
511,0.227188403517363
512,0.224118297735321
513,0.219513104523482
514,0.217978063145387
515,0.214140413648446
516,0.211837828555452
517,0.209535243462458
518,0.206465137680416
519,0.20493007327647
520,0.20109242377953
521,0.198789838686536
522,0.195719732904494
523,0.194184668500548
524,0.191882083407554
525,0.188044456936464
526,0.18574187184347
527,0.184974351154422
528,0.179601637253536
529,0.179601637253536
530,0.175763987756595
531,0.172693881974553
532,0.172693881974553
533,0.168856232477613
534,0.168856232477613
535,0.167321168073667
536,0.164251062291625
537,0.160413435820535
538,0.155808265634547
539,0.1550407449455
540,0.153505680541553
541,0.150435574759511
542,0.148132989666518
543,0.14659790223672
544,0.145830381547673
545,0.142760275765631
546,0.141225211361685
547,0.140457690672637
548,0.135852520486649
549,0.134317456082702
550,0.133549935393655
551,0.132014870989708
552,0.129712285896714
553,0.128944765207666
554,0.125874659425625
555,0.123572074332631
556,0.123572074332631
557,0.122037009928684
558,0.121269466213786
559,0.120501945524738
560,0.118199360431744
561,0.115896798364601
562,0.115896798364601
563,0.114361733960655
564,0.112826669556708
565,0.110524084463714
566,0.109756563774666
567,0.10822149937072
568,0.10822149937072
569,0.107453978681672
570,0.10438384987378
571,0.10438384987378
572,0.104383872899631
573,0.101313744091738
574,0.10054622340269
575,0.099011158998744
576,0.0974760945947976
577,0.0959410532167022
578,0.0936384681237082
579,0.0928709244088095
580,0.0944059888127559
581,0.0898008186267678
582,0.0898008186267678
583,0.0890332979377201
584,0.0874982335337737
585,0.0859631691298274
586,0.0851956484407795
587,0.0836605840368334
588,0.0836606070626843
589,0.0813579989438393
590,0.0805904782547916
591,0.0798229575657439
592,0.0775203724727498
593,0.0790554368766962
594,0.0767528287578512
595,0.0767528287578512
596,0.0775203494468989
597,0.0752177643539049
598,0.0736827229758095
599,0.0729152022867618
600,0.0721476815977141
601,0.0706126171937677
602,0.06984509650472
603,0.0698450734788691
604,0.0660074470077796
605,0.0667749676968273
606,0.0660074239819287
607,0.065239903292881
608,0.0637048388889346
609,0.0637048388889346
610,0.0644723826038333
611,0.0644723826038333
612,0.0637048388889346
613,0.0629373181998869
614,0.0598672124178454
615,0.0590996917287975
616,0.0590996917287975
617,0.0575646273248511
618,0.0598672124178454
619,0.0590996917287975
620,0.0560295859467557
621,0.0544944985169585
622,0.0560295629209048
623,0.0552620422318571
624,0.0537269778279108
