Wavelength,Abs
200,87.38770944931
201,86.6048305176921
202,86.0222764891646
203,86.3745720083926
204,86.6531848046449
205,83.4226579191743
206,78.133619960567
207,74.8455284477715
208,72.4577477063366
209,69.7890515835565
210,67.5555440433523
211,65.8838672658386
212,64.3825817852065
213,62.7707722201107
214,60.6639068600211
215,58.9507835508336
216,57.2768041882269
217,55.6327584318291
218,54.0877238344301
219,52.614069374914
220,51.2094924681876
221,49.7634690297873
222,48.4970472286406
223,47.3204262461206
224,46.1921595505535
225,45.3102694599368
226,44.4421948798781
227,43.5764228849123
228,42.8395956551542
229,42.151122712349
230,41.4281109931489
231,40.7097044441347
232,40.0903090541193
233,39.434072302616
234,38.7479019449038
235,38.1054807039585
236,37.499900824501
237,36.8989261152296
238,36.3048591612371
239,35.7706594196625
240,35.2686958693898
241,34.79206075514
242,34.3591747576572
243,33.9262887601743
244,33.5141260285283
245,33.1411072434633
246,32.7957194795142
247,32.4641472261231
248,32.1417853131039
249,31.8470544212006
250,31.5431131889254
251,31.2161461057203
252,30.8983893628871
253,30.5990533007979
254,30.2812965579647
255,29.9336062089226
256,29.5790081046015
257,29.2105944897225
258,28.8306679493784
259,28.4438336537554
260,28.0546967730395
261,27.6655598923235
262,27.2902385221654
263,26.9172197371004
264,26.5672268029653
265,26.2264442092022
266,25.8810564452531
267,25.535668681304
268,25.2017938428198
269,24.8633138341497
270,24.5202286552936
271,24.1656305509725
272,23.8064272764654
273,23.4541317572373
274,23.0880207274513
275,22.7219096976652
276,22.3557986678792
277,21.9758721275352
278,21.6074585126561
279,21.2252293872191
280,20.8245795810382
281,20.4308375301362
282,20.0486084046992
283,19.6525637687042
284,19.2588217178022
285,18.8765925923652
286,18.4851531265562
287,18.0914110756542
288,17.7068793651242
289,17.3200450695012
290,16.9470262844362
291,16.5832178397431
292,16.2148042248641
293,15.864811290729
294,15.5263312820589
295,15.1901538584817
296,14.8516738498116
297,14.5247067666064
298,14.2230681194242
299,13.926034642428
300,13.6313037505247
301,13.3549935393655
302,13.0832884983922
303,12.8184912126979
304,12.5652068524685
305,12.3119224922392
306,12.0240993556149
307,11.7500917295486
308,11.5152280500632
309,11.2964824662288
310,11.0846446376733
311,10.8774119793039
312,10.6793896613064
313,10.4790647582159
314,10.2856476104044
315,10.0945330476859
316,9.91262882533937
317,9.73532977317883
318,9.55803072101828
319,9.38994200922972
320,9.22645846762714
321,9.05376458565259
322,8.88797845895702
323,8.72679750244743
324,8.57022171612384
325,8.41825109998623
326,8.25937272856964
327,8.11661245280401
328,7.97845734722437
329,7.83569707145874
330,7.70214713606508
331,7.56859720067143
332,7.43734985037077
333,7.3107076702561
334,7.18636807523442
335,7.06433106530573
336,6.94920181065603
337,6.83637514109932
338,6.72585105663561
339,6.61762955726489
340,6.50710547280117
341,6.39658138833746
342,6.29066247405973
343,6.187046144875
344,6.08573240078326
345,5.98441865669153
346,5.89922300825075
347,5.80942218962398
348,5.71962137099721
349,5.63212313746344
350,5.54462490392966
351,5.45942925548888
352,5.38114136232709
353,5.30745863935128
354,5.2222629909105
355,5.1439750977487
356,5.07259495986588
357,5.00121482198307
358,4.92753209900726
359,4.85384937603145
360,4.78016665305564
361,4.71108910026582
362,4.639708962383
363,4.57063140959318
364,4.50385644189635
365,4.43477888910653
366,4.36570133631671
367,4.30122895371288
368,4.23445398601605
369,4.16998160341222
370,4.11011439099437
371,4.04794459348353
372,3.98807738106569
373,3.92590758355485
374,3.87064554132299
375,3.81077832890515
376,3.75551628667329
377,3.70485941462742
378,3.65189995748856
379,3.59433533016371
380,3.54137587302484
381,3.49302158607197
382,3.4423647140261
383,3.38940525688724
384,3.33644579974837
385,3.2880915127955
386,3.24434239602861
387,3.19598810907574
388,3.14993640721585
389,3.10158212026298
390,3.0555304184031
391,3.01178130163621
392,2.97033476996232
393,2.92888823828843
394,2.88513912152154
395,2.84369258984765
396,2.80224605817375
397,2.76079952649986
398,2.72165557991896
399,2.68251163333806
400,2.64567027185016
401,2.60882891036225
402,2.57198754887435
403,2.53284360229345
404,2.49600224080555
405,2.46146346441064
406,2.42462210292273
407,2.39238591162081
408,2.3578471352259
409,2.32330835883099
410,2.28646699734309
411,2.25653339113416
412,2.22429719983225
413,2.19436359362333
414,2.1644299874144
415,2.13679896629847
416,2.10226018990356
417,2.07462916878764
418,2.04699814767171
419,2.02166971164877
420,1.99173610543985
421,1.96180249923093
422,1.93647406320799
423,1.91114562718506
424,1.88581719116212
425,1.86048875513919
426,1.83746290420925
427,1.81213446818631
428,1.78680603216338
429,1.76838535141943
430,1.74305691539649
431,1.72003106446655
432,1.69700521353661
433,1.67858453279266
434,1.65555868186272
435,1.63944058621176
436,1.62101990546781
437,1.59799405453787
438,1.57957337379392
439,1.56345527814296
440,1.54273201230601
441,1.52661391665505
442,1.51049582100409
443,1.49207514026014
444,1.47365445951619
445,1.45523377877224
446,1.44141826821427
447,1.42760275765631
448,1.40918207691236
449,1.3907613961684
450,1.37924847070343
451,1.36543296014547
452,1.35622261977349
453,1.33780193902954
454,1.32168384337858
455,1.30556574772762
456,1.29175023716966
457,1.2779347266117
458,1.26411921605373
459,1.25030370549577
460,1.2364881949378
461,1.22267268437984
462,1.21115975891487
463,1.1973442483569
464,1.18352873779894
465,1.17201581233397
466,1.158200301776
467,1.14208220612505
468,1.13287186575307
469,1.1213589402881
470,1.10984601482313
471,1.09833308935816
472,1.08682016389319
473,1.07991240861421
474,1.06839948314924
475,1.05688655768427
476,1.04767621731229
477,1.03616329184732
478,1.02925553656834
479,1.02234778128936
480,1.01544002601037
